Year,BroodID,Visit,Date,Time,PlotID,Latitude,Longitude,Stage,HatchDate,AgeType,ChickAge,NumberChicks,Observer,ChickAgeEst,Adult1FlagCode,Adult1FlagColor,Adult2FlagCode,Adult2FlagColor,Comments
2015,1AH,1,6/23/2015,11:45,34 MI,64.8197,-166.00673,brood,,,,4,LHD,4 d.o.,1AH,FEDG,,,"1AH Radio: 164.003 MHz. Chicks: 1CN, 1CP, 1CM, 1CL "
2015,1AH,2,6/26/2015,17:12,34 MI,64.81649,-166.00835,brood,,,,4,LHD,ca. 7 d.o.,1AH,FEDG,,, 
2015,1AH,3,6/27/2015,15:30,34 MI,64.81738,-166.00865,brood,,,,4,NRH,8 d.o.,1AH,FEDG,,,Radio on male @ 165.003 MHz. 
2015,1AH,4,6/28/2015,16:53,34 MI,64.81848,-165.99741,brood,,,,4,NRH,,1AH,FEDG,,, 
2015,1AH,5,6/29/2015,13:15,34 MI,64.81621,-166.01079,brood,,,,4,NRH,10 d.o. ?,1AH,FEDG,,,"Chicks seem younger than 10 d.o. Maybe -1, -2 d. Flushed 2 chicks, very tough in fog. "
2015,1AH,6,6/30/2015,20:45,34 MI,64.81552,-166.0127,brood,,,,4,JAJ,,1AH,FEDG,,, 
2015,1AH,7,7/2/2015,20:45,34 MI,64.81711,-166.01271,brood,,,,4,JAJ,,1AH,FEDG,,, 
2015,1AH,8,7/4/2015,15:18,34 MI,64.81468,-166.99033,brood,,,,4,NRH,,1AH,FEDG,,, 
2015,1AH,9,7/5/2015,17:51,34 MI,64.81595,-165.99619,brood,,,,4,NRH,,1AH,FEDG,,,"Recapture to deploy pinpoint but decided to re-apply radio instead due to loose patch and elbow abbrassions, chicks flagged. "
2015,1AH,10,7/6/2015,19:52,34 MI,64.81615,-166.00459,brood,,,,,LHD,,1AH,FEDG,,, 
2015,1AH,11,7/7/2015,14:20,34 MI,64.81617,-166.01718,brood,,,,3,NRH,,1AH,FEDG,,,1CM Radio: D647 
2015,1AU,1,6/24/2015,13:00,37 MI,64.84861,-166.08821,brood,,,,1,LHD,9 d.o.,1AU,FEDG,,,"1AU PinPoint: 046. Chicks: 1CA, 1AY, 1AV, 1AX. 1AV Radio: D643 @ 164.345 (leather). 1AX Radio: D652 @ 165.213 (best .2125; switched from 1CA). 1CA: Radio shed. Not heard on radio on 8 July. "
2015,1AU,2,7/3/2015,18:34,37 MI,64.84522,-166.0833,brood,,,,4,,,1AU,FEDG,,,"PinPoint 046 on male. Radio D652 on chick 1CA @ 165.213, best 165.2125. "
2015,1AU,3,7/4/2015,10:50,37 MI,64.84496,-166.08517,brood,,,,3,JAJ,,1AU,FEDG,,, 
2015,1AU,4,7/6/2015,14:21,37 MI,64.84278,-166.0881,brood,,,,3,NRH,Fully flighted,1AU,FEDG,,, 
2015,1AU,5,7/7/2015,13:10,37 MI,,,brood,,,,3,JAJ,,1AU,FEDG,,, 
2015,1AU,6,7/9/2015,14:03,37 MI,64.84178,-166.08652,brood,,,,2,NRH,,1AU,FEDG,,,"Radio from 1CA found on ground down slope of the road. Later AU and brood of two found, chicks captured and radio'd. "
2015,1AU,7,7/10/2015,13:46,37 MI,64.84536,-166.08011,brood,,,,3,NRH,,1AU,FEDG,,, 
2015,1AU,8,7/11/2015,13:35,37 MI,64.84496,-166.08348,brood,,,,3,NRH,,1AU,FEDG,,,"Found with 3 chicks on 11 July (1AX, 1AN (from XT), and unb. (now 1CY)). We believe this unbanded was from 6XN's brood. Radio on 1CY: D655 @ 165.9850, attached with leather patch. Parental protection nearly completely gone. "
2015,1AU,9,7/12/2015,17:11,37 MI,64.84502,-166.09294,brood,,,,4,NRH,,1AU,FEDG,,,"Male not observed but group of 4 chicks including: 1AV, 1AX, 1CY, 1CC found. "
2015,1AU,10,7/14/2015,,34 MI,64.81659,-165.92389,fledged,,,,1,NRH,,1AU,FEDG,,,Chick 1CM found alone. No siblings or male around. 
2015,1AU,11,7/15/2015,,37 MI,64.84285,-166.06589,fledged,,,,,,,1AU,FEDG,,,1AY observed with flock of 4 others. 
2015,1CT,1,7/8/2015,11:36,Feather East,64.83801,-165.91919,brood,,,,,JAJ,22+ d.o.,1CT,FEDG,,, 
2015,1CU,1,7/8/2015,19:20,Feather West,64.84605,-165.94916,brood,,,,,LHD,24+ d.o.,1CU,FEDG,,, 
2015,1EA,1,7/11/2015,16:15,37 MI,64.84209,-166.06369,fledged,,,,2,NRH,ca. 24 d.o.,1EA,FEDG,,,"Chicks: 1EC and 1UNB. 15 July 2015: CWW and NRH heard 1EA on radio. Apparently near the same location he was seen on 14 July. Not observation, but likely still with brood. 16 July 2015: CWW heard 1EA on radio, distantly. Unable to locate. "
2015,1EA,2,7/12/2015,19:23,37 MI,64.84912,-166.05846,brood,,,,2,NRH,,1EA,FEDG,,,Chicks: 1EC and 1UNB 
2015,1EA,3,7/14/2015,14:00,37 MI,64.84828,-166.02893,brood,,,,,CWW,,1EA,FEDG,,,Chick: 1UNB located 
2015,6EV,1,6/24/2015,14:30,37 MI,64.85962,-166.07536,brood,,,,,LHD,7 d.o.,6EV,FELG,,,"6EV PinPoint: 145. Chicks: 1CU, 1CX, 2 UNB. 1CV Radio: D651 @ 165.160, best .158. 1CX Radio: D639 @ 164.274. From 17-19 July, only 1CX and 1CV detected via telemetry. "
