"","Year","Date","Region","PlotID","Latitude","Longitude","EncounterType","FlagCode","FlagColor","CurrentFlagCode","CurrentFlagColor","Age","Sex","TrackerType1","TrackerType2","TrackerStatus1","TrackerStatus2","Observer","Comments"
"18",2011,"5/29/2011","Alaska","34 MI",64.81511,-165.9927,"R","6JN","FELG","6JN","FELG","AHY",,"GEO","","Retained","","LHD","ACTIVE SCRAPEadditional observers - , , , , "
"530",2011,"4/14/2011","Mexico","Los Soldados/GSC/México",31.73553,-114.6486,"R","6CC","FELG","6CC","FELG","AHY",,"","","","","Adriana y Ayala","General GPS Location"
"531",2011,"10/31/2011","Mexico","Las Cruces/Guerrero Negro/México",27.929268,-114.146379,"R","6LX","FELG","6LX","FELG","AHY",,"GEO","","Retained","","Arce","General GPS Location"
"532",2011,"11/1/2011","Mexico","Las Cruces/Guerrero Negro/México",27.929268,-114.146379,"R","6LX","FELG","6LX","FELG","AHY",,"GEO","","Retained","","Arce","General GPS Location"
"533",2011,"11/23/2011","Mexico","Camino a La Isla/Guerrero Negro/México",27.929268,-114.146379,"R","6JM","FELG","6JM","FELG","AHY",,"","","","","Ayala","General GPS Location"
"534",2011,"12/10/2011","Mexico","Las Cruces/Guerrero Negro/México",27.929268,-114.146379,"R","6LX","FELG","6LX","FELG","AHY",,"GEO","","Retained","","Arce y Pozas","General GPS Location"
"549",2011,"5/13/2011","Washington","Grays Harbor, WA",46.96627,-124.0614,"R","6KA","FELG","6KA","FELG","AHY",,"GEO","","Retained","","JB","General GPS location for site, "
"550",2011,"5/25/2011","Alaska","37 MI",64.85497,-166.0868,"R","6JY","FELG","6JY","FELG","AHY",,"GEO","","Retained","","DTS","General GPS location for site, "
"551",2011,"5/26/2011","Alaska","34 MI",64.81771,-166.0021,"R","6JN","FELG","6JN","FELG","AHY",,"GEO","","Retained","","NHD","General GPS location for site, "
"552",2011,"5/30/2011","Alaska","34 MI",64.81771,-166.0021,"R","6JE","FELG","6JE","FELG","AHY",,"GEO","","Removed","","LHD","General GPS location for site, "
"553",2011,"6/3/2011","Alaska","34 MI",64.81771,-166.0021,"R","6JH","FELG","1LM","FEDG","AHY",,"GEO","","Retained","","LHD","General GPS location for site, "
"554",2011,"6/3/2011","Alaska","34 MI",64.81771,-166.0021,"R","6JH","FELG","1LM","FEDG","AHY",,"GEO","","Retained","","JRC","General GPS location for site, "
"555",2011,"6/5/2011","Alaska","34 MI",64.81771,-166.0021,"R","6JX","FELG","6JX","FELG","AHY",,"GEO","","Retained","","LHD","General GPS location for site, "
