"","Year","Date","Region","PlotID","Latitude","Longitude","EncounterType","FlagCode","FlagColor","CurrentFlagCode","CurrentFlagColor","Age","Sex","TrackerType1","TrackerType2","TrackerStatus1","TrackerStatus2","Observer","Comments"
"4",2019,"6/8/2019","Alaska","Nome",64.815656,-166.020916,"R","6JH","FELG","1LM","FEDG","AHY",,"","","","","Magnus Ullman","2 birds (obviuosly a pair) feeding together on breeding tundra habitat"
"9",2019,"6/28/2019","Alaska","34 MI",64.815975,-165.991495,"C","6JH","FELG","1LM","FEDG","ATY",,"RADIO","","New","","ZMP","6JH old Flag, replaced with 1LM. Caught on brood"
"115",2019,"6/29/2019","Alaska","34 MI",64.81583,-166.01601,"R","1LM","FEDG","1LM","FEDG","ATY",,"RADIO","","Retained","","JAJ","Adult defensive and calling. Chicks not looked for. "
"174",2019,"6/28/2019","Alaska","Barrel",64.714314,165.76769,"C","1LL","FEDG","1LL","FEDG","ASY",,"RADIO","","New","","ZMP","At nest"
"208",2019,"6/29/2019","Alaska","34 MI",64.82115,-166.0366,"R","1HE","FEDG","1HE","FEDG","ASY",,"RADIO","","Retained","","ZMP","Being chased by 3 adults including 1 cohort red banded bird."
"224",2019,"7/3/2019","Alaska","34 MI",64.81497,-165.947423,"R","MV","FEDG","MV","FEDG","ASY",,"","","","","ZMP","Came in to chick call"
"229",2019,"7/1/2019","Alaska","Steven",64.8489,-166.0179,"C","1LP","FEDG","1LP","FEDG","ASY",,"RADIO","","New","","ZMP","Captured 2 chicks, saw 3 chicks"
"273",2019,"6/28/2019","Alaska","34 MI",64.82281,-166.033898,"C","1LN","FEDG","1LN","FEDG","ASY",,"RADIO","","New","","ZMP","Caught on chicks"
"291",2019,"5/5/2019","Washington","Grays Harbor, WA",46.954133,-124.045452,"R","1EH","FEDG","1EH","FEDG","AHY",,"","","","","Joe et al.","Dummy date and location used for resighted in spring (full records held by Joe) multiple resights are possible while this only represents its presence."
"292",2019,"5/5/2019","Washington","Grays Harbor, WA",46.954133,-124.045452,"R","1JK","FEDG","1JK","FEDG","AHY",,"","","","","Joe et al.","Dummy date and location used for resighted in spring (full records held by Joe) multiple resights are possible while this only represents its presence."
"293",2019,"5/5/2019","Washington","Grays Harbor, WA",46.954133,-124.045452,"R","1KA","FEDG","1KA","FEDG","AHY",,"GEO","","Retained","","Joe et al.","Dummy date and location used for resighted in spring (full records held by Joe) multiple resights are possible while this only represents its presence."
"294",2019,"5/5/2019","Washington","Grays Harbor, WA",46.954133,-124.045452,"R","1KN","FEDG","1KN","FEDG","AHY",,"","","","","Joe et al.","Dummy date and location used for resighted in spring (full records held by Joe) multiple resights are possible while this only represents its presence."
"295",2019,"5/5/2019","Washington","Grays Harbor, WA",46.954133,-124.045452,"R","6HV","FELG","6HV","FELG","AHY",,"","","","","Joe et al.","Dummy date and location used for resighted in spring (full records held by Joe) multiple resights are possible while this only represents its presence."
"643",2019,"7/6/2019","Alaska","34 MI",64.82,-166.034,"C","1LT","FEDG","1LT","FEDG","L",,"","","","","WAB","General GPS Point"
"644",2019,"7/14/2019","Alaska","34 MI",64.82,-166.034,"C","1MV","FEDG","1MV","FEDG","L",,"","","","","WAB","General GPS Point"
"645",2019,"7/14/2019","Alaska","34 MI",64.82,-166.034,"C","1ML","FEDG","1ML","FEDG","L",,"","","","","WAB","General GPS Point"
"695",2019,"6/27/2019","Alaska","37 MI",64.851796,-166.08376,"R","1AY","FEDG","1AY","FEDG","ASY",,"","","","","JGW","Not really responsive to chick call. Standing still."
"710",2019,"6/30/2019","Alaska","37 MI",64.853,-166.084,"R","1KU","FEDG","1KU","FEDG","ASY",,"RADIO","","Retained","","ZMP","Only 2 chicks seen"
"770",2019,"6/1/2019","Alaska","Nome",64.766978,-165.991973,"R","1KA","FEDG","1KA","FEDG","AHY",,"GEO","","Retained","","Luke Tiller","Red Knot on Teller Highway at Mile 34. Lat and Long estimated. "
"877",2019,"6/26/2019","Alaska","34 MI",64.82277,-166.043327,"C","1HE","FEDG","1HE","FEDG","ATY",,"GEO","RADIO","Removed","New","ZMP","Tight GEO, light inflammation."
"951",2019,"6/30/2019","Alaska","37 MI",64.843,-166.0824,"R","6TM","FELG","6TM","FELG","ATY",,"RADIO","","Retained","","ZMP","With 1 chick"
"955",2019,"7/11/2019","Alaska","34 MI",64.8124,-165.93966,"R","1LA","FEDG","1LA","FEDG","ATY",,"RADIO","","Retained","","ZMP","With 2 chicks"
"956",2019,"7/3/2019","Alaska","34 MI",64.81497,-165.947423,"R","1LA","FEDG","1LA","FEDG","ASY",,"","","","","JAJ","With 2 chicks, could not capture "
"957",2019,"7/9/2019","Alaska","34 MI",64.8159,-165.9888,"R","1MK","FEDG","1MK","FEDG","ASY",,"RADIO","","Retained","","JGW","With 2 chicks. Adult does not respond to chick call. "
