"","Year","Date","Region","PlotID","Latitude","Longitude","EncounterType","FlagCode","FlagColor","CurrentFlagCode","CurrentFlagColor","Age","Sex","TrackerType1","TrackerType2","TrackerStatus1","TrackerStatus2","Observer","Comments"
"11",2012,"7/5/2012","Alaska","Feather",64.85294,-165.93585,"R","6JX","FELG","6JX","FELG","AHY",,"","","","","LD","Acting broody and flying around DRR001 nest. No chicks observed.additional observers -  LE, , , , "
"12",2012,"7/5/2012","Alaska","Feather",64.85294,-165.93584,"R","6LA","FELG","6LA","FELG","AHY",,"","","","","LD","Acting broody and flying around DRR001 nest. No chicks observed.additional observers -  LE, , , , "
"13",2012,"7/3/2012","Alaska","Feather",64.84785,-165.94077,"R","6JX","FELG","6JX","FELG","AHY",,"","","","","NH","Acting very broody, but no chicks observed.additional observers -  AJ,  FS, , , "
"14",2012,"6/27/2012","Alaska","Tombstone",64.94064,-166.2094,"R","6CX","FELG","6CX","FELG","AHY",,"","","","","JJ","Acting very broody, but no chicks observed.additional observers -  DR,  NW, , , "
"15",2012,"6/29/2012","Alaska","Tombstone",64.94299,-166.20471,"R","6CX","FELG","6CX","FELG","AHY",,"","","","","LD","Acting very broody, but no chicks observed.additional observers -  LE,  NW,  NH, , "
"16",2012,"7/1/2012","Alaska","34 MI",64.82166,-166.03896,"R","6CY","FELG","6CY","FELG","AHY",,"","","","","LD","Acting very broody, but no chicks observed.additional observers - , , , , "
"33",2012,"6/30/2012","Alaska","Feather",64.84898,-165.93823,"R","6LA","FELG","6LA","FELG","AHY",,"","","","","NH","additional observers -  DR,  NW, , , "
"44",2012,"6/26/2012","Alaska","34 MI",64.81601,-166.00028,"C","6EA","FELG","6EA","FELG","AHY",,"","","","","LE","additional observers -  JJ,  LD,  NH,  AJ,  FS"
"51",2012,"6/25/2012","Alaska","34 MI",64.8239,-166.04208,"R","6KU","FELG","6KU","FELG","AHY",,"","","","","LE","additional observers -  LD, , , , "
"52",2012,"5/30/2012","Alaska","Barrel",64.7063,-165.76335,"R","6JL","FELG","6JL","FELG","AHY",,"GEO","","Retained","","NH","additional observers -  LE,  LD, , , "
"53",2012,"5/31/2012","Alaska","37 MI",64.85193,-166.09251,"R","6KK","FELG","6KK","FELG","AHY",,"GEO","","Retained","","NH","additional observers -  LE,  LD, , , "
"54",2012,"6/4/2012","Alaska","34 MI",64.8147,-165.95941,"R","6KP","FELG","6KP","FELG","AHY",,"GEO","","Retained","","JJ","additional observers -  LE, , , , "
"100",2012,"6/30/2012","Alaska","37 MI",64.85235,-166.08571,"R","6KN","FELG","6KN","FELG","AHY",,"","","","","LD","additional observers -  NW,  LE, , , "
"179",2012,"5/22/2012","Alaska","37 MI",64.85071,-166.0823,"R","266","FEY","266","FEY","AHY",,"","","","","LD","Baja bird.additional observers - , , , , "
"180",2012,"5/23/2012","Alaska","37 MI",64.85073,-166.0837,"R","266","FEY","266","FEY","AHY",,"","","","","NH","Baja bird.additional observers - , , , , "
"181",2012,"6/7/2012","Alaska","34 MI",64.81271,-165.95064,"R","321","FEY","321","FEY","AHY",,"","","","","NH","baja, UL (yellow flag 321), LL (red flag)additional observers - , , , , "
"216",2012,"6/26/2012","Alaska","34 MI",64.8241,-166.03152,"R","6CY","FELG","6CY","FELG","AHY",,"","","","","LE","Brood not found, but it looked like it was a really broody bird.additional observers -  LD,  DR,  JJ,  NH, "
"225",2012,"7/4/2012","Alaska","34 MI",64.82425,-166.05157,"R","6CY","FELG","6CY","FELG","AHY",,"","","","","LD","Came into chick call and then came in when we caught 6EA acting interested but not more broody than 6EA.additional observers -  LE,  AJ,  FS, , "
"226",2012,"6/24/2012","Alaska","34 MI",64.81271,-165.9489,"R","6CN","FELG","6CN","FELG","AHY",,"GEO","","Retained","","JJ","Came into chick distress call when 6KV was flushed off of nest.additional observers - , , , , "
"227",2012,"7/1/2012","Alaska","34 MI",64.82331,-166.03418,"R","6EA","FELG","6EA","FELG","AHY",,"","","","","LE","Came to chick call and had one chick.additional observers - , , , , "
"245",2012,"7/2/2012","Alaska","34 MI",64.81554,-165.93468,"R","6JT","FELG","6JT","FELG","AHY",,"GEO","","Removed","","LD","captured on nest NW001additional observers -  LE,  NH, , , "
"271",2012,"7/4/2012","Alaska","34 MI",64.82425,-166.05157,"R","6EA","FELG","6EA","FELG","AHY",,"","","","","LD","Caught and bled.additional observers -  LE,  AJ,  FS, , "
"272",2012,"7/3/2012","Alaska","Feather",64.84518,-165.94975,"R","6EL","FELG","6EL","FELG","AHY",,"","","","","LD","Caught and re-measured and swabbed one chick. No other chicks observed despite good effort to relocate more.additional observers -  LE,  AJ,  FS,  NH, "
"274",2012,"6/4/2012","Alaska","34 MI",64.82574,-166.04054,"R","6KU","FELG","6KU","FELG","AHY",,"GEO","","Removed","","NH","Caught on nest and removed geolocator today.additional observers -  LD, , , , "
"275",2012,"5/31/2012","Alaska","34 MI",64.82298,-166.04288,"R","6LX","FELG","6LX","FELG","AHY",,"GEO","","Removed","","NH","Caught on nest and removed geolocator today.additional observers -  LE,  LD, , , "
"276",2012,"6/1/2012","Alaska","37 MI",64.85193,-166.09251,"R","6KK","FELG","6KK","FELG","AHY",,"GEO","","Removed","","NH","Caught on nest and removed geolocator today.additional observers -  LE,  LD, , , "
"277",2012,"7/4/2012","Alaska","37 MI",64.8502,-166.08923,"R","6KN","FELG","6KN","FELG","AHY",,"","","","","LD","Caught with four chicks. Very large chicks. Male not very responsive.additional observers -  LE,  AJ,  FS, , "
"279",2012,"6/28/2012","Alaska","37 MI",64.84476,-166.08301,"R","6KN","FELG","6KN","FELG","AHY",,"","","","","JJ","Chicks caught and flagged.additional observers -  NW,  NH, , , "
"315",2012,"6/6/2012","Alaska","34 MI",64.81525,-165.95735,"R","6KJ","FELG","6KJ","FELG","AHY",,"GEO","","Retained","","LE","female (?) paired with unbanded maleadditional observers - , , , , "
"350",2012,"6/13/2012","Alaska","34 MI",64.81667,-166.00183,"R","6JE","FELG","6JE","FELG","AHY",,"","","","","LE","Foraging with 8 REKN, 1 RUTU, and 3 AMGP. Bird was very responsive to chick call, but we were not able to get her to come in when we had the mistnet ready.additional observers -  LD,  NH, , , "
"352",2012,"6/8/2012","Alaska","Barrel",64.70679,-165.77272,"R","6JL","FELG","6JL","FELG","AHY",,"GEO","","Retained","","LE","Foraging with AMGPadditional observers -  LD, , , , "
"353",2012,"6/7/2012","Alaska","Barrel",64.70908,-165.77013,"R","6JL","FELG","6JL","FELG","AHY",,"GEO","","Retained","","LD","foraging with female AMGPadditional observers - , , , , "
"512",2012,"3/18/2012","Mexico","Playa Pueblo/GSC/México",31.73553,-114.6486,"R","6CC","FELG","6CC","FELG","AHY",,"","","","","-","General GPS Location"
"513",2012,"3/22/2012","Mexico","Playa Pueblo/GSC/México",31.73553,-114.6486,"R","6CN","FELG","6CN","FELG","AHY",,"","","","","Luis","General GPS Location"
"514",2012,"4/1/2012","Mexico","Playa Pueblo/GSC/México",31.73553,-114.6486,"R","6JU","FELG","6JU","FELG","AHY",,"","","","","Hugo","General GPS Location"
"515",2012,"4/4/2012","Mexico","Playa Pueblo/GSC/México",31.73553,-114.6486,"R","6CN","FELG","6CN","FELG","AHY",,"","","","","Adriana","General GPS Location"
"516",2012,"4/9/2012","Mexico","La Bajada/GSC/México",31.73553,-114.6486,"R","6JU","FELG","6JU","FELG","AHY",,"","","","","Adriana","General GPS Location"
"517",2012,"4/16/2012","Mexico","Playa Pueblo/GSC/México",31.73553,-114.6486,"R","6LX","FELG","6LX","FELG","AHY",,"GEO","","Retained","","","General GPS Location"
"518",2012,"4/27/2012","Mexico","Playa Pueblo/GSC/México",31.73553,-114.6486,"R","6JU","FELG","6JU","FELG","AHY",,"","","","","Adriana","General GPS Location"
"519",2012,"8/31/2012","Mexico","Las Cruces/Guerrero Negro/México",27.929268,-114.146379,"R","6EV","FELG","6EV","FELG","AHY",,"","","","","Arce","General GPS Location"
"520",2012,"10/2/2012","Mexico","Las Cruces/Guerrero Negro/México",27.929268,-114.146379,"R","6LX","FELG","6LX","FELG","AHY",,"","","","","Arce","General GPS Location"
"521",2012,"10/4/2012","Mexico","Las Cruces/Guerrero Negro/México",27.929268,-114.146379,"R","6LX","FELG","6LX","FELG","AHY",,"","","","","Arce","General GPS Location"
"522",2012,"10/5/2012","Mexico","Las Cruces/Guerrero Negro/México",27.929268,-114.146379,"R","6LX","FELG","6LX","FELG","AHY",,"","","","","Arce","General GPS Location"
"523",2012,"10/26/2012","Mexico","Las Cruces/Guerrero Negro/México",27.929268,-114.146379,"R","6TE","FELG","6TE","FELG","AHY",,"","","","","Arce y Gutiérrez","General GPS Location"
"524",2012,"11/27/2012","Mexico","Las Cruces/Guerrero Negro/México",27.929268,-114.146379,"R","6TE","FELG","6TE","FELG","AHY",,"","","","","Arce y Adriana","General GPS Location"
"525",2012,"11/28/2012","Mexico","Las Cruces/Guerrero Negro/México",27.929268,-114.146379,"R","6TE","FELG","6TE","FELG","AHY",,"","","","","Arce y Gutiérrez","General GPS Location"
"526",2012,"12/13/2012","Mexico","Las Cruces/Guerrero Negro/México",27.929268,-114.146379,"R","6EH","FELG","6EH","FELG","HY",,"","","","","Arce","General GPS Location"
"527",2012,"12/16/2012","Mexico","P. Viejo/Guerrero Negro/México",27.929268,-114.146379,"R","6EA","FELG","6EA","FELG","AHY",,"","","","","Arce","General GPS Location"
"528",2012,"12/16/2012","Mexico","P. Viejo/Guerrero Negro/México",27.929268,-114.146379,"R","6EH","FELG","6EH","FELG","HY",,"","","","","Arce","General GPS Location"
"529",2012,"12/30/2012","Mexico","Las Cruces/Guerrero Negro/México",27.929268,-114.146379,"R","6EH","FELG","6EH","FELG","HY",,"","","","","Ayala","General GPS Location"
