"","Year","Date","Region","PlotID","Latitude","Longitude","EncounterType","FlagCode","FlagColor","CurrentFlagCode","CurrentFlagColor","Age","Sex","TrackerType1","TrackerType2","TrackerStatus1","TrackerStatus2","Observer","Comments"
"43",2013,"6/25/2013","Alaska","34 MI",64.81759,-166.00151,"R","6CU","FELG","6CU","FELG","AHY",,"","","","","LHD","additional observers -  JAJ, , , , "
"99",2013,"6/23/2013","Alaska","34 MI",64.81126,-165.95918,"R","6JX","FELG","6JX","FELG","AHY",,"","","","","JAJ","additional observers -  NRH, , , , "
"175",2013,"6/26/2013","Alaska","34 MI",64.81755,-166.00768,"R","6EA","FELG","6EA","FELG","AHY",,"","","","","JAJ","Attempted capture with four chicks.additional observers -  NRH,  LHD,  SMM,  KDM, "
"176",2013,"7/1/2013","Alaska","34 MI",64.81273,-165.96812,"R","6EA","FELG","6EA","FELG","AHY",,"","","","","JAJ","Attempted capture with two chicksadditional observers -  NRH,  LHD,  SMM,  KDM, "
"177",2013,"7/3/2013","Alaska","34 MI",64.81489,-165.93314,"R","6EA","FELG","6EA","FELG","AHY",,"","","","","JAJ","Attempted THIRD capture with two chicks. Super Talon fart, windy mist net. Stopped after ~7 min.additional observers -  LHD,  SMM,  NRH, , "
"204",2013,"7/2/2013","Alaska","Tombstone",64.93504,-166.2086,"C","6HY","FELG","1KY","FEDG","AHY",,"GEO","","New","","JAJ","Banded with one chick.additional observers -  LHD,  SMM,  NRH, , "
"205",2013,"7/2/2013","Alaska","Tombstone",64.94184,-166.20691,"C","6HX","FELG","6HX","FELG","AHY",,"GEO","","New","","JAJ","Banded with three chicksadditional observers -  LHD,  SMM,  NRH, , "
"230",2013,"6/25/2013","Alaska","34 MI",64.81387,-165.96663,"C","6HP","FELG","6HP","FELG","AHY",,"","","","","JAJ","Captured and banded using chick call. Very pale female. Very responsive to chick call. Paired with 6EC (watched 6EC do nest scrape display 3 times to 6HP before we captured).additional observers -  NRH,  LHD,  SMM,  KDM, "
"270",2013,"7/6/2013","Alaska","34 MI",64.81621,-165.94385,"C","6HH","FELG","6HH","FELG","AHY",,"GEO","","New","","JAJ","Captured with two chicks.additional observers -  LHD,  SMM,  NRH, , "
"284",2013,"7/3/2013","Alaska","34 MI",64.81428,-165.95967,"R","6KP","FELG","6KP","FELG","AHY",,"","","","","NRH","Did not appear to have much going on. Just foraging around, kind of suspiciously.additional observers -  LHD, , , , "
"310",2013,"5/5/2013","Washington","Grays Harbor, WA",46.954133,-124.045452,"R","6CV","FELG","6CV","FELG","AHY",,"","","","","Joe et al.","Dummy date used for resighted in spring (full records held by Joe) multiple resights are possible while this only represents its presence."
"311",2013,"5/5/2013","Washington","Grays Harbor, WA",46.954133,-124.045452,"R","6KK","FELG","6KK","FELG","AHY",,"","","","","Joe et al.","Dummy date used for resighted in spring (full records held by Joe) multiple resights are possible while this only represents its presence."
"313",2013,"12/26/2013","California","Mission Beach, CA",32.78622825,-117.2320175,"R","6JX","FELG","6JX","FELG","AHY",,"","","","","Mace Hack","Feeding with 9 other knots. Yellow band on right leg upper. "
"346",2013,"7/3/2013","Alaska","34 MI",64.81477,-165.94383,"R","6JX","FELG","6JX","FELG","AHY",,"","","","","JAJ","Foraging single.additional observers -  LHD,  SMM,  NRH, , "
"348",2013,"6/27/2013","Alaska","34 MI",64.81389,-165.94576,"R","6JT","FELG","6JT","FELG","AHY",,"","","","","JAJ","Foraging with 6CN and 6KVadditional observers -  NRH,  SMM,  KDM, , "
"349",2013,"6/27/2013","Alaska","34 MI",64.81389,-165.94576,"R","6CN","FELG","6CN","FELG","AHY",,"GEO","","Retained","","JAJ","Foraging with 6KV and 6JTadditional observers -  NRH,  SMM,  KDM, , "
"354",2013,"6/29/2013","Alaska","34 MI",64.81249,-165.97359,"R","372","FEY","372","FEY","AHY",,"","","","","JAJ","Foraging with five other unbanded REKN. Appeared to be males (?).additional observers -  NRH,  LHD,  SMM,  KDM, "
"366",2013,"6/24/2013","Alaska","34 MI",64.82343,-166.04189,"C","6UM","FELG","6UM","FELG","AHY",,"GEO","","New","","LHD","Found with four chicks and banded. Chicks left unbanded.additional observers -  NRH,  JAJ, , , "
"368",2013,"6/26/2013","Alaska","34 MI",64.82343,-166.04189,"R","6UM","FELG","6UM","FELG","AHY",,"GEO","","Retained","","JAJ","Found with three chicksadditional observers -  SMM,  KDM, , , "
"479",2013,"1/31/2013","Mexico","Las Cruces/Guerrero Negro/México",27.92927,-114.1464,"R","6TE","FELG","6TE","FELG","AHY",,"","","","","Arce","General GPS Location"
"480",2013,"2/24/2013","Mexico","Playa Pueblo/GSC/México",31.73553,-114.6486,"R","6CN","FELG","6CN","FELG","AHY",,"","","","","Adriana","General GPS Location"
"481",2013,"2/26/2013","Mexico","Playa Pueblo/GSC/México",31.73553,-114.6486,"R","6CN","FELG","6CN","FELG","AHY",,"","","","","Adriana","General GPS Location"
"482",2013,"2/27/2013","Mexico","Playa Pueblo/GSC/México",31.73553,-114.6486,"R","6CN","FELG","6CN","FELG","AHY",,"","","","","Adriana","General GPS Location"
"483",2013,"3/1/2013","Mexico","Trailer Park/GSC/México",31.73553,-114.6486,"R","6CN","FELG","6CN","FELG","AHY",,"","","","","Adriana","General GPS Location"
"484",2013,"3/5/2013","Mexico","Playa Pueblo/GSC/México",31.73553,-114.6486,"R","6CC","FELG","6CC","FELG","AHY",,"","","","","Adriana","General GPS Location"
"485",2013,"3/7/2013","Mexico","Entre Trailer Park y el restaurante El Faro/GSC/México",31.73553,-114.6486,"R","6CN","FELG","6CN","FELG","AHY",,"","","","","Adriana","General GPS Location"
"486",2013,"3/7/2013","Mexico","Entre Trailer Park y el restaurante El Faro/GSC/México",31.73553,-114.6486,"R","6EV","FELG","6EV","FELG","AHY",,"","","","","Adriana","General GPS Location"
"487",2013,"3/10/2013","Mexico","Playa Pueblo/GSC/México",31.73553,-114.6486,"R","6EV","FELG","6EV","FELG","AHY",,"","","","","Adriana","General GPS Location"
